Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2024-01-02,250.080002,251.250000,244.410004,248.419998,,104654200.000000,TSLA
2024-01-03,244.979996,245.679993,236.320007,238.449997,,121082600.000000,TSLA
2024-01-04,239.250000,242.699997,237.729996,237.929993,,102629300.000000,TSLA
2024-01-05,236.860001,240.119995,234.899994,237.490005,,92379400.000000,TSLA
2024-01-08,236.139999,241.250000,235.300003,240.449997,,85166600.000000,TSLA
2024-01-09,238.110001,238.960007,232.039993,234.960007,,96705700.000000,TSLA
2024-01-10,235.100006,235.500000,231.289993,233.940002,,91628500.000000,TSLA
2024-01-11,230.570007,230.929993,225.369995,227.220001,,105873600.000000,TSLA
2024-01-12,220.080002,225.339996,217.149994,218.889999,,122889000.000000,TSLA
2024-01-16,215.100006,223.490005,212.179993,219.910004,,115355000.000000,TSLA
2024-01-17,214.860001,215.669998,212.009995,215.550003,,103164400.000000,TSLA
2024-01-18,216.880005,217.449997,208.740005,211.880005,,108595400.000000,TSLA
2024-01-19,209.990005,213.190002,207.559998,212.190002,,102095800.000000,TSLA
2024-01-22,212.259995,217.800003,206.270004,208.800003,,117952500.000000,TSLA
2024-01-23,211.300003,215.649994,207.750000,209.139999,,106605900.000000,TSLA
2024-01-24,211.880005,212.729996,206.770004,207.830002,,123369900.000000,TSLA
2024-01-25,189.699997,193.000000,180.059998,182.630005,,198076800.000000,TSLA
2024-01-26,185.500000,186.779999,182.100006,183.250000,,107343200.000000,TSLA
2024-01-29,185.630005,191.479996,183.669998,190.929993,,125013100.000000,TSLA
2024-01-30,195.330002,196.360001,190.610001,191.589996,,109982300.000000,TSLA
2024-01-31,187.000000,193.970001,185.850006,187.289993,,103221400.000000,TSLA
2024-02-01,188.500000,189.880005,184.279999,188.860001,,91843300.000000,TSLA
2024-02-02,185.039993,188.690002,182.000000,187.910004,,110505100.000000,TSLA
2024-02-05,184.259995,184.679993,175.009995,181.059998,,134294400.000000,TSLA
2024-02-06,177.210007,186.490005,177.110001,185.100006,,122676000.000000,TSLA
2024-02-07,188.179993,189.789993,182.679993,187.580002,,111535200.000000,TSLA
2024-02-08,189.000000,191.619995,185.580002,189.559998,,83034000.000000,TSLA
2024-02-09,190.179993,194.119995,189.479996,193.570007,,84476300.000000,TSLA
2024-02-12,192.110001,194.729996,187.279999,188.130005,,95498600.000000,TSLA
2024-02-13,183.990005,187.259995,182.110001,184.020004,,86759500.000000,TSLA
2024-02-14,185.300003,188.889999,183.350006,188.710007,,81203000.000000,TSLA
2024-02-15,189.160004,200.880005,188.860001,200.449997,,120831800.000000,TSLA
2024-02-16,202.059998,203.169998,197.399994,199.949997,,111173600.000000,TSLA
2024-02-20,196.130005,198.600006,189.130005,193.759995,,104545800.000000,TSLA
2024-02-21,193.360001,199.440002,191.949997,194.770004,,103844000.000000,TSLA
2024-02-22,194.000000,198.320007,191.360001,197.410004,,92739500.000000,TSLA
2024-02-23,195.309998,197.570007,191.500000,191.970001,,78841900.000000,TSLA
2024-02-26,192.289993,201.779999,192.000000,199.399994,,111747100.000000,TSLA
2024-02-27,204.039993,205.600006,198.259995,199.729996,,108645400.000000,TSLA
2024-02-28,200.419998,205.300003,198.440002,202.039993,,99806200.000000,TSLA
2024-02-29,204.179993,205.279999,198.449997,201.880005,,85907000.000000,TSLA
2024-03-01,200.520004,204.520004,198.500000,202.639999,,82099200.000000,TSLA
2024-03-04,198.729996,199.750000,186.720001,188.139999,,134334900.000000,TSLA
2024-03-05,183.050003,184.589996,177.570007,180.740005,,119660800.000000,TSLA
2024-03-06,179.990005,181.580002,173.699997,176.539993,,107920900.000000,TSLA
2024-03-07,174.350006,180.039993,173.699997,178.649994,,102129000.000000,TSLA
2024-03-08,181.500000,182.729996,174.699997,175.339996,,85315300.000000,TSLA
2024-03-11,175.449997,182.869995,174.800003,177.770004,,85391500.000000,TSLA
2024-03-12,177.770004,179.429993,172.410004,177.539993,,87391700.000000,TSLA
2024-03-13,173.050003,176.050003,169.149994,169.479996,,106524500.000000,TSLA
2024-03-14,167.770004,171.169998,160.509995,162.500000,,126325700.000000,TSLA
2024-03-15,163.160004,165.179993,160.759995,163.570007,,96971900.000000,TSLA
2024-03-18,170.020004,174.720001,165.899994,173.800003,,108214400.000000,TSLA
2024-03-19,172.360001,172.820007,167.419998,171.320007,,77271400.000000,TSLA
2024-03-20,173.000000,176.250000,170.820007,175.660004,,83846700.000000,TSLA
2024-03-21,176.389999,178.179993,171.800003,172.820007,,73178000.000000,TSLA
2024-03-22,166.690002,171.199997,166.300003,170.830002,,75454700.000000,TSLA
2024-03-25,168.759995,175.240005,168.729996,172.630005,,74228600.000000,TSLA
2024-03-26,178.580002,184.250000,177.380005,177.669998,,113186200.000000,TSLA
2024-03-27,181.410004,181.910004,176.000000,179.830002,,81804000.000000,TSLA
2024-03-28,177.449997,179.570007,175.300003,175.789993,,77654800.000000,TSLA
2024-04-01,176.169998,176.750000,170.210007,175.220001,,81562100.000000,TSLA
2024-04-02,164.750000,167.690002,163.429993,166.630005,,116650600.000000,TSLA
2024-04-03,164.020004,168.820007,163.279999,168.380005,,82950100.000000,TSLA
